dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DDF,LR,0,0,0.8957931827825312,65451572,6820500,0,98,train
DDF,LR,0,0,0.8959317890791072,65451572,6811428,0,99,train
DDF,LR,0,0,0.8963114285475069,65451572,6786580,0,100,train
DDF,LR,0,1,0.8571550275370009,65451572,9349428,0,6,train
DDF,LR,0,0,0.8956199249118111,65451572,6831840,0,83,train
DDF,LR,0,1,0.8602602241547385,65451572,9146188,0,7,train
DDF,LR,0,1,0.8658037426511315,65451572,8783356,0,9,train
DDF,LR,0,1,0.8829650111383115,65451572,7660124,0,31,train
DDF,LR,0,1,0.883369279503325,65451572,7633664,0,32,train
DDF,LR,0,1,0.883642764149347,65451572,7615764,0,33,train
DDF,LR,0,1,0.8842664924839391,65451572,7574940,0,34,train
DDF,LR,0,1,0.8860144718907592,65451572,7460532,0,35,train
DDF,LR,0,1,0.8860415453428682,65451572,7458760,0,36,train
DDF,LR,0,1,0.8884368430448087,65451572,7301984,0,37,train
DDF,LR,0,1,0.8826068226443821,65451572,7683568,0,30,train
DDF,LR,0,1,0.8901542655079392,65451572,7189576,0,38,train
DDF,LR,0,1,0.8897923490668795,65451572,7213264,0,40,train
DDF,LR,0,1,0.8898800474952687,65451572,7207524,0,41,train
DDF,LR,0,1,0.8898405068101344,65451572,7210112,0,42,train
DDF,LR,0,1,0.8903331458562982,65451572,7177868,0,43,train
DDF,LR,0,1,0.8904379561731535,65451572,7171008,0,44,train
DDF,LR,0,1,0.8904723021778606,65451572,7168760,0,45,train
DDF,LR,0,1,0.8904996200855191,65451572,7166972,0,46,train
DDF,LR,0,1,0.8898270006410236,65451572,7210996,0,39,train
DDF,LR,0,1,0.8764200193694355,65451572,8088504,0,29,train
DDF,LR,0,1,0.8662688804479746,65451572,8752912,0,28,train
DDF,LR,0,1,0.8662601411620794,65451572,8753484,0,27,train
DDF,LR,0,1,0.866404492164069,65451572,8744036,0,10,train
DDF,LR,0,1,0.8664366380688305,65451572,8741932,0,11,train
DDF,LR,0,1,0.8662098444327663,65451572,8756776,0,12,train
DDF,LR,0,1,0.86621045557164,65451572,8756736,0,13,train
DDF,LR,0,1,0.8662221283241295,65451572,8755972,0,14,train
DDF,LR,0,1,0.8662258562712596,65451572,8755728,0,15,train
DDF,LR,0,1,0.8662226172352285,65451572,8755940,0,16,train
DDF,LR,0,1,0.8662229839185528,65451572,8755916,0,17,train
DDF,LR,0,1,0.8662235950574266,65451572,8755876,0,18,train
DDF,LR,0,1,0.8662361234043393,65451572,8755056,0,19,train
DDF,LR,0,1,0.8662439459819239,65451572,8754544,0,20,train
DDF,LR,0,1,0.8662484072957025,65451572,8754252,0,21,train
DDF,LR,0,1,0.8662496906873375,65451572,8754168,0,22,train
DDF,LR,0,1,0.8662576966065841,65451572,8753644,0,23,train
DDF,LR,0,1,0.866253968659454,65451572,8753888,0,24,train
