dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DGS,KM-tol-0.0001-maxIter-10,1,2,65451488,42764288,3,04/20/21 32 2021 23:32:38. 738,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451444,35875572,3,04/20/21 32 2021 23:32:35. 385,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451444,35654276,3,04/20/21 32 2021 23:32:36. 404,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451444,35610964,3,04/20/21 32 2021 23:32:37. 424,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451444,35606908,3,04/20/21 32 2021 23:32:38. 447,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4536404,0,04/20/21 32 2021 23:32:57. 216,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4508820,0,04/20/21 32 2021 23:32:58. 243,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4399764,0,04/20/21 32 2021 23:32:59. 259,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4536404,1,04/20/21 32 2021 23:32:57. 216,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4508820,1,04/20/21 32 2021 23:32:58. 243,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4399764,1,04/20/21 32 2021 23:32:59. 259,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451520,41926992,1,04/20/21 32 2021 23:32:57. 379,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451520,41848752,1,04/20/21 32 2021 23:32:58. 398,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451520,41838344,1,04/20/21 32 2021 23:32:59. 417,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4536404,2,04/20/21 32 2021 23:32:57. 216,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4508820,2,04/20/21 32 2021 23:32:58. 243,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4399764,2,04/20/21 32 2021 23:32:59. 259,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451520,41926992,2,04/20/21 32 2021 23:32:57. 379,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451520,41848752,2,04/20/21 32 2021 23:32:58. 398,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451520,41838344,2,04/20/21 32 2021 23:32:59. 417,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451488,41971264,2,04/20/21 32 2021 23:32:57. 156,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451488,41863244,2,04/20/21 32 2021 23:32:58. 170,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451488,41855708,2,04/20/21 32 2021 23:32:59. 185,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4536404,3,04/20/21 32 2021 23:32:57. 216,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4508820,3,04/20/21 32 2021 23:32:58. 243,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451544,4399764,3,04/20/21 32 2021 23:32:59. 259,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451520,41926992,3,04/20/21 32 2021 23:32:57. 379,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451520,41848752,3,04/20/21 32 2021 23:32:58. 398,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451520,41838344,3,04/20/21 32 2021 23:32:59. 417,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451488,41971264,3,04/20/21 32 2021 23:32:57. 156,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451488,41863244,3,04/20/21 32 2021 23:32:58. 170,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451488,41855708,3,04/20/21 32 2021 23:32:59. 185,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451444,35863856,3,04/20/21 32 2021 23:32:57. 065,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451444,35857028,3,04/20/21 32 2021 23:32:58. 089,train
DGS,KM-tol-0.0001-maxIter-10,2,0,65451444,35808368,3,04/20/21 32 2021 23:32:59. 108,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,4474560,0,04/20/21 33 2021 23:33:19. 661,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,4367000,0,04/20/21 33 2021 23:33:20. 680,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,3792080,0,04/20/21 33 2021 23:33:21. 709,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,4474560,1,04/20/21 33 2021 23:33:19. 661,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,4367000,1,04/20/21 33 2021 23:33:20. 680,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,3792080,1,04/20/21 33 2021 23:33:21. 709,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451520,41811528,1,04/20/21 33 2021 23:33:19. 855,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451520,41802188,1,04/20/21 33 2021 23:33:20. 874,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451520,41788576,1,04/20/21 33 2021 23:33:21. 893,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,4474560,2,04/20/21 33 2021 23:33:19. 661,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,4367000,2,04/20/21 33 2021 23:33:20. 680,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,3792080,2,04/20/21 33 2021 23:33:21. 709,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451520,41811528,2,04/20/21 33 2021 23:33:19. 855,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451520,41802188,2,04/20/21 33 2021 23:33:20. 874,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451520,41788576,2,04/20/21 33 2021 23:33:21. 893,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451488,41939784,2,04/20/21 33 2021 23:33:19. 619,train
