dataset,algorithm,platformId,runId,NetIn,NetOut,node,time,phase
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931219228651,356046149283586,3,04/21/21 38 2021 01:38:35. 321,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512132,82465710018,3,04/21/21 38 2021 01:38:32. 523,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512586,82465710814,3,04/21/21 38 2021 01:38:33. 549,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512681,82465711104,3,04/21/21 38 2021 01:38:34. 574,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512776,82465711394,3,04/21/21 38 2021 01:38:35. 599,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2010403613095,86063820853,3,04/21/21 38 2021 01:38:33. 010,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2010403613190,86063821144,3,04/21/21 38 2021 01:38:34. 036,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2010403613379,86063821942,3,04/21/21 38 2021 01:38:35. 063,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2104549592765,95188910520,3,04/21/21 38 2021 01:38:32. 616,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2104552350854,95189042035,3,04/21/21 38 2021 01:38:33. 630,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2104552969055,95189406631,3,04/21/21 38 2021 01:38:34. 642,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2104553587485,95189881910,3,04/21/21 38 2021 01:38:35. 654,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931394295966,356046593524203,0,04/21/21 39 2021 01:39:00. 788,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931397202723,356046596572258,0,04/21/21 39 2021 01:39:01. 813,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931400709678,356046600498449,0,04/21/21 39 2021 01:39:02. 826,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931394295966,356046593524203,1,04/21/21 39 2021 01:39:00. 788,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931397202723,356046596572258,1,04/21/21 39 2021 01:39:01. 813,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931400709678,356046600498449,1,04/21/21 39 2021 01:39:02. 826,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2014106359411,82466073244,1,04/21/21 39 2021 01:39:00. 137,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2014108443845,82466206839,1,04/21/21 39 2021 01:39:01. 152,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2014109331323,82467025686,1,04/21/21 39 2021 01:39:02. 170,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931394295966,356046593524203,2,04/21/21 39 2021 01:39:00. 788,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931397202723,356046596572258,2,04/21/21 39 2021 01:39:01. 813,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931400709678,356046600498449,2,04/21/21 39 2021 01:39:02. 826,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2014106359411,82466073244,2,04/21/21 39 2021 01:39:00. 137,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2014108443845,82466206839,2,04/21/21 39 2021 01:39:01. 152,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2014109331323,82467025686,2,04/21/21 39 2021 01:39:02. 170,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2010442545183,86064086837,2,04/21/21 39 2021 01:39:00. 641,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2010443012701,86064559775,2,04/21/21 39 2021 01:39:01. 668,train
