dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,LR,2,2,0.26967479942108014,65451544,47800912,1,2,train
DGS,LR,2,2,0.2717763846793286,65451544,47663360,2,0,train
DGS,LR,3,1,0.2707606714365669,65451544,47729840,2,0,train
DGS,LR,3,1,0.2686980157412329,65451544,47864844,1,2,train
DGS,LR,3,1,0.2708170795787491,65451544,47726148,2,1,train
DGS,LR,3,0,0.2763140927584535,65451544,47366360,2,3,test
DGS,LR,3,0,0.2749686699522321,65451544,47454420,2,2,train
DGS,LR,3,1,0.2765545148942552,65451544,47350624,2,3,test
DGS,LR,3,1,0.275987316662843,65451544,47387748,2,2,train
DGS,LR,3,0,0.27051694914943486,65451544,47745792,2,1,train
DGS,LR,3,1,0.8945662763891407,65451544,6900800,3,0,train
DGS,LR,3,2,0.8945560703655822,65451544,6901468,3,0,train
DGS,LR,3,1,0.26403227401327617,65451544,48170224,1,1,train
DGS,LR,3,1,0.26404828585861934,65451544,48169176,1,0,train
DGS,LR,3,0,0.269212900462669,65451544,47831144,1,3,test
DGS,LR,3,0,0.2673166579538597,65451544,47955256,1,2,train
DGS,LR,3,0,0.26379753547143214,65451544,48185588,1,1,train
DGS,LR,3,0,0.2637933797253125,65451544,48185860,1,0,train
DGS,LR,3,2,0.2643012974606069,65451544,48152616,1,0,train
DGS,LR,3,2,0.26428956358921035,65451544,48153384,1,1,train
DGS,LR,3,0,0.27052672737559863,65451544,47745152,2,0,train
DGS,LR,3,2,0.26896208896156826,65451544,47847560,1,2,train
DGS,LR,3,0,0.894541219684596,65451544,6902440,3,0,train
DGS,LR,3,0,0.8983448885483893,65451544,6653484,3,1,train
DGS,LR,3,0,0.9018702446499963,65451544,6422744,3,2,train
DGS,LR,3,0,0.9066917046296111,65451544,6107172,3,3,test
DGS,LR,3,2,0.2710169831898847,65451544,47713064,2,0,train
DGS,LR,3,1,0.898750134908964,65451544,6626960,3,1,train
DGS,LR,3,1,0.9020739373237704,65451544,6409412,3,2,train
DGS,LR,3,1,0.9065945946210222,65451544,6113528,3,3,test
DGS,LR,3,2,0.27022329679495416,65451544,47765012,1,3,train
DGS,LR,3,2,0.2710200388855609,65451544,47712864,2,1,train
DGS,LR,3,1,0.2698743974626481,65451544,47787848,1,3,test
DGS,LR,3,2,0.276784792120412,65451544,47335552,2,3,train
DGS,LR,3,2,0.9018882121405722,65451544,6421568,3,2,train
DGS,LR,3,0,0.25730498879385205,65451572,48610556,0,0,train
DGS,LR,3,0,0.2573113446381395,65451572,48610140,0,1,train
DGS,LR,3,0,0.2616284296426066,65451572,48327580,0,2,train
DGS,LR,3,2,0.27617114731472187,65451544,47375716,2,2,train
DGS,LR,3,0,0.2622770924432495,65451572,48285124,0,3,test
DGS,LR,3,1,0.2575308657216056,65451572,48595772,0,0,train
DGS,LR,3,2,0.9056659075911181,65451544,6174312,3,3,train
DGS,LR,3,1,0.25753740490755517,65451572,48595344,0,1,train
DGS,LR,3,2,0.8987036272207727,65451544,6630004,3,1,train
DGS,LR,3,2,0.2628234505964196,65451572,48249364,0,3,train
DGS,LR,3,2,0.2622212343501849,65451572,48288780,0,2,train
DGS,LR,3,2,0.25783570179185306,65451572,48575820,0,1,train
DGS,LR,3,1,0.26192697098245404,65451572,48308040,0,2,train
DGS,LR,3,1,0.2625411044367277,65451572,48267844,0,3,test
DGS,LR,3,2,0.25783166827528603,65451572,48576084,0,0,train
DGS,LR,4,0,0.2744748084170482,65451544,47486744,2,2,train
DGS,LR,4,0,0.26973860234679875,65451544,47796736,2,0,train
DGS,LR,4,2,0.2702239079340894,65451544,47764972,2,1,train
DGS,LR,4,2,0.27022684140193853,65451544,47764780,2,0,train
DGS,LR,4,1,0.276243995099642,65451544,47370948,2,3,train
DGS,LR,4,1,0.2751457169597099,65451544,47442832,2,2,train
DGS,LR,4,1,0.26998611369656916,65451544,47780536,2,1,train
DGS,LR,4,2,0.9120146653836004,65451544,5758776,3,3,train
DGS,LR,4,2,0.9029088756103294,65451544,6354764,3,2,train
DGS,LR,4,2,0.8943249986585496,65451544,6916592,3,0,train
DGS,LR,4,0,0.26972387389363955,65451544,47797700,2,1,train
DGS,LR,4,1,0.9101008831816099,65451544,5884036,3,3,train
DGS,LR,4,1,0.9027475348786271,65451544,6365324,3,2,train
DGS,LR,4,1,0.8982224773796016,65451544,6661496,3,1,train
DGS,LR,4,1,0.8940276794692574,65451544,6936052,3,0,train
DGS,LR,4,0,0.9113135054537446,65451544,5804668,3,3,train
DGS,LR,4,0,0.902319004117,65451544,6393372,3,2,train
DGS,LR,4,0,0.8979976392917484,65451544,6676212,3,1,train
DGS,LR,4,0,0.8938051025962046,65451544,6950620,3,0,train
DGS,LR,4,1,0.26998263020349833,65451544,47780764,2,0,train
DGS,LR,4,0,0.2754814156866949,65451544,47420860,2,3,train
DGS,LR,4,2,0.8984651607302037,65451544,6645612,3,1,train
DGS,LR,4,2,0.27530968558969365,65451544,47432100,2,2,train
DGS,LR,4,2,0.26140994749522595,65451572,48341880,0,2,train
DGS,LR,4,2,0.2620316590715346,65451572,48301188,0,3,train
DGS,LR,4,2,0.26894387701533823,65451544,47848752,1,3,train
DGS,LR,4,2,0.26350742772393576,65451544,48204576,1,1,train
DGS,LR,4,2,0.2635182448866294,65451544,48203868,1,0,train
DGS,LR,4,1,0.2687212390283719,65451544,47863324,1,3,train
DGS,LR,4,1,0.2679026792706372,65451544,47916900,1,2,train
DGS,LR,4,1,0.26327568376385435,65451544,48219744,1,1,train
DGS,LR,4,1,0.2632764171308167,65451544,48219696,1,0,train
DGS,LR,4,0,0.2683857236431275,65451544,47885284,1,3,train
DGS,LR,4,0,0.26671254691867924,65451544,47994796,1,2,train
DGS,LR,4,0,0.26299816548254384,65451544,48237908,1,1,train
DGS,LR,4,0,0.2630039101904151,65451544,48237532,1,0,train
DGS,LR,4,0,0.2565439375543188,65451572,48660368,0,0,train
DGS,LR,4,0,0.25654845998198483,65451572,48660072,0,1,train
