transformTime,features,fitTime,testCount,trainCount,weightedPrecision,accuracy,weightedRecall,f1,algorithm,dataset,family,platformId,runId,mse,rmse,r2,mae,silhouette
6915.0,27.0,29159.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,22,0,,,,,0.3670868374686179
6899.0,27.0,28916.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,22,2,,,,,0.36708683746861775
6956.0,27.0,28973.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,22,1,,,,,0.36708683746861787
6891.0,27.0,29966.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,23,2,,,,,0.3670868374686179
6893.0,27.0,29451.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,23,0,,,,,0.3670868374686179
6924.0,27.0,30487.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,23,1,,,,,0.36708683746861775
6937.0,27.0,29230.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,24,1,,,,,0.3670868374686183
6955.0,27.0,28671.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,24,0,,,,,0.3670868374686178
6919.0,27.0,29051.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,24,2,,,,,0.3670868374686179
6891.0,27.0,29009.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,25,1,,,,,0.3670868374686182
6869.0,27.0,29007.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,25,2,,,,,0.367086837468618
7023.0,27.0,29215.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,25,0,,,,,0.3670868374686178
6873.0,27.0,37696.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,26,0,,,,,0.3670868374686181
6946.0,27.0,38145.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,26,1,,,,,0.3670868374686177
6942.0,27.0,38092.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,26,2,,,,,0.3670868374686182
6914.0,27.0,29648.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,27,0,,,,,0.3670868374686175
6922.0,27.0,31458.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,27,2,,,,,0.36708683746861737
6902.0,27.0,29720.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,27,1,,,,,0.367086837468618
6904.0,27.0,31975.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,28,1,,,,,0.3670868374686181
6894.0,27.0,30944.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,28,0,,,,,0.36708683746861803
6921.0,27.0,30869.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,28,2,,,,,0.36708683746861803
7025.0,27.0,30735.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,29,1,,,,,0.3670868374686178
