dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602492,2,04/23/21 37 2021 07:37:12. 547,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602844,2,04/23/21 37 2021 07:37:13. 572,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14604096,2,04/23/21 37 2021 07:37:14. 597,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603740,2,04/23/21 37 2021 07:37:15. 623,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684028,2,04/23/21 37 2021 07:37:02. 096,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684904,2,04/23/21 37 2021 07:37:03. 123,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684892,2,04/23/21 37 2021 07:37:04. 149,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684600,2,04/23/21 37 2021 07:37:05. 176,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684436,2,04/23/21 37 2021 07:37:06. 202,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684568,2,04/23/21 37 2021 07:37:07. 229,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684676,2,04/23/21 37 2021 07:37:08. 255,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684288,2,04/23/21 37 2021 07:37:09. 282,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14683760,2,04/23/21 37 2021 07:37:10. 308,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684508,2,04/23/21 37 2021 07:37:11. 335,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684076,2,04/23/21 37 2021 07:37:12. 361,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684956,2,04/23/21 37 2021 07:37:13. 388,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684560,2,04/23/21 37 2021 07:37:14. 415,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684400,2,04/23/21 37 2021 07:37:15. 441,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,7245716,3,04/23/21 37 2021 07:37:02. 195,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,7059748,3,04/23/21 37 2021 07:37:03. 209,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6556928,3,04/23/21 37 2021 07:37:04. 222,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6519312,3,04/23/21 37 2021 07:37:05. 236,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6515816,3,04/23/21 37 2021 07:37:06. 250,train
