fitTime,trainCount,Iexecutors,r2,Icores,Shuffle,max_iter,platformId,runId,transformTime,testCount,trainTime,infTroughput
60828.0,474.0,1.0,0.6111958778057414,1,False,3,2,0,15997.0,132.0,128.32911392405063,8.251547165093456
55379.0,486.0,2.0,0.2954702043062051,2,True,3,11,0,9538.0,120.0,113.94855967078189,12.581253931641854
54541.0,470.0,3.0,0.6013400335008374,4,True,3,29,0,11914.0,136.0,116.04468085106383,11.415141849924458
88840.0,474.0,4.0,0.11866868985622958,4,False,3,32,0,12152.0,132.0,187.42616033755274,10.862409479921002
69744.0,477.0,3.0,0.3682641116932712,2,False,3,14,0,11337.0,129.0,146.21383647798743,11.378671606245039
53894.0,484.0,1.0,0.6037720984332774,5,False,3,34,0,12035.0,122.0,111.35123966942149,10.137100124636477
49164.0,475.0,4.0,0.5732899022801303,2,True,3,15,0,9006.0,131.0,103.50315789473684,14.54585831667777
54970.0,470.0,4.0,0.6013400335008374,3,True,3,23,0,11149.0,136.0,116.95744680851064,12.19840344425509
71159.0,475.0,2.0,0.6968604959125456,5,False,3,36,0,14426.0,131.0,149.8084210526316,9.08082628587273
52913.0,472.0,3.0,0.7318212141427619,5,True,3,37,0,11095.0,134.0,112.10381355932203,12.077512392969805
51634.0,470.0,3.0,0.6013400335008374,4,False,3,30,0,9561.0,136.0,109.8595744680851,14.224453509047171
51616.0,474.0,1.0,0.5111684434022057,3,True,3,17,0,9704.0,132.0,108.89451476793249,13.602638087386644
63011.0,477.0,2.0,0.3682641116932712,3,True,3,19,0,11843.0,129.0,132.0985324947589,10.892510343662924
51738.0,474.0,1.0,0.5111684434022057,3,False,3,18,0,10197.0,132.0,109.15189873417721,12.944983818770227
64655.0,474.0,3.0,0.5111684434022057,1,True,3,5,0,8959.0,132.0,136.4029535864979,14.733787253041635
60750.0,474.0,1.0,0.6111958778057414,1,True,3,1,0,15952.0,132.0,128.16455696202533,8.27482447342026
49315.0,486.0,1.0,0.2954702043062051,4,False,3,26,0,10416.0,120.0,101.47119341563786,11.52073732718894
50124.0,475.0,2.0,0.5732899022801303,4,True,3,27,0,11648.0,131.0,105.52421052631578,11.246565934065934
60286.0,477.0,3.0,0.3682641116932711,2,True,3,13,0,11263.0,129.0,126.38574423480084,11.453431590162479
65611.0,474.0,2.0,0.6111958778057414,1,False,3,4,0,9779.0,132.0,138.4198312236287,13.498312710911136
90244.0,471.0,4.0,0.4588068368736624,5,False,3,40,0,12742.0,135.0,191.6008492569002,10.59488306388322
53500.0,475.0,2.0,0.5732899022801303,4,False,3,28,0,11053.0,131.0,112.63157894736842,11.851985886184746
62781.0,472.0,3.0,0.7318212141427619,5,False,3,38,0,14186.0,134.0,133.010593220339,9.445932609615113
45207.0,474.0,3.0,0.7131901840490797,3,True,2,21,0,9144.0,132.0,95.37341772151899,14.435695538057743
55062.0,475.0,4.0,0.5732899022801303,2,False,2,16,0,10133.0,131.0,115.92,12.928056843975131
47568.0,474.0,1.0,0.6112674601351645,2,True,2,9,0,10259.0,132.0,100.35443037974683,12.866751145335803
53884.0,477.0,2.0,0.3682923914439515,3,False,2,20,0,9494.0,129.0,112.96436058700209,13.587528965662525
61484.0,474.0,4.0,0.11861277291936526,4,True,2,31,0,11020.0,132.0,129.71308016877637,11.978221415607987
59766.0,474.0,3.0,0.5110864260638093,1,False,2,6,0,9163.0,132.0,126.0886075949367,14.405762304921968
58681.0,486.0,4.0,0.2962247357390929,1,False,2,8,0,8768.0,120.0,120.74279835390946,13.686131386861312
45609.0,484.0,1.0,0.603749192236865,5,True,2,33,0,12003.0,122.0,94.23347107438016,10.164125635257852
56659.0,470.0,4.0,0.6013400335008374,3,False,2,24,0,10612.0,136.0,120.55106382978724,12.815680361854504
54504.0,474.0,3.0,0.7131901840490797,3,False,2,22,0,11541.0,132.0,114.9873417721519,11.437483753574213
52419.0,475.0,2.0,0.6968583274881959,5,True,2,35,0,11791.0,131.0,110.35578947368421,11.110168772792807
51943.0,474.0,1.0,0.6112674601351645,2,False,2,10,0,11799.0,132.0,109.584388185654,11.187388761759472
62047.0,471.0,4.0,0.4514618386044525,5,True,2,39,0,13583.0,135.0,131.73460721868366,9.938894205992785
51453.0,486.0,4.0,0.29622473573909336,1,True,2,7,0,8640.0,120.0,105.87037037037037,13.888888888888888
53619.0,486.0,2.0,0.29622473573909336,2,False,2,12,0,9196.0,120.0,110.32716049382717,13.049151805132666
51991.0,474.0,2.0,0.6112674601351645,1,True,2,3,0,9520.0,132.0,109.68565400843882,13.865546218487395
44700.0,486.0,1.0,0.29622473573909336,4,True,2,25,0,10745.0,120.0,91.9753086419753,11.167985109353188
51453.0,474.0,1.0,0.6112674601351645,1,False,2,2,0,15978.0,132.0,108.5506329113924,8.261359369132558
49541.0,486.0,2.0,0.296224735739093,2,True,2,11,0,9380.0,120.0,101.93621399176955,12.793176972281449
52027.0,470.0,3.0,0.6013400335008374,4,True,2,29,0,11014.0,136.0,110.69574468085106,12.347920828037045
73748.0,474.0,4.0,0.11861277291936555,4,False,2,32,0,10879.0,132.0,155.58649789029536,12.133468149646108
57373.0,477.0,3.0,0.3682923914439515,2,False,2,14,0,8722.0,129.0,120.27882599580713,14.790185737216236
46371.0,484.0,1.0,0.6037491922368652,5,False,2,34,0,12222.0,122.0,95.80785123966942,9.981999672721322
51100.0,475.0,4.0,0.5732899022801303,2,True,2,15,0,11016.0,131.0,107.57894736842105,11.891793754538853
48995.0,470.0,4.0,0.6013400335008374,3,True,2,23,0,9279.0,136.0,104.24468085106383,14.656751805151417
61008.0,475.0,2.0,0.6968583274881959,5,False,2,36,0,14076.0,131.0,128.4378947368421,9.306621199204319
52267.0,472.0,3.0,0.7318212141427618,5,True,2,37,0,11171.0,134.0,110.73516949152543,11.995345089965088
51551.0,470.0,3.0,0.6013400335008374,4,False,2,30,0,11194.0,136.0,109.68297872340426,12.14936573164195
50593.0,474.0,1.0,0.5110864260638093,3,True,2,17,0,11905.0,132.0,106.73628691983123,11.087778244435112
48663.0,477.0,2.0,0.3682923914439515,3,True,2,19,0,8954.0,129.0,102.01886792452831,14.406968952423497
49761.0,474.0,1.0,0.5110864260638093,3,False,2,18,0,11662.0,132.0,104.98101265822785,11.318813239581546
55864.0,474.0,3.0,0.5110864260638093,1,True,2,5,0,9292.0,132.0,117.85654008438819,14.20576840292725
