dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DDF,BLR,0,0,0.652899826454894,65451572,22718252,0,16,train
DDF,BLR,0,0,0.6528992153160202,65451572,22718292,0,15,train
DDF,BLR,0,0,0.6528953651411153,65451572,22718544,0,14,train
DDF,BLR,0,0,0.652902087668727,65451572,22718104,0,13,train
DDF,BLR,0,0,0.6528941428633678,65451572,22718624,0,12,train
DDF,BLR,0,0,0.6530057979356095,65451572,22711316,0,11,train
DDF,BLR,0,0,0.6529683351226461,65451572,22713768,0,10,train
DDF,BLR,0,0,0.6516391691860357,65451572,22800764,0,9,train
DDF,BLR,0,0,0.6516314688362259,65451572,22801268,0,8,train
DDF,BLR,0,0,0.6516120957339268,65451572,22802536,0,7,train
DDF,BLR,0,0,0.6473868649021906,65451572,23079084,0,6,train
DDF,BLR,0,0,0.6462749588352134,65451572,23151860,0,5,train
DDF,BLR,0,0,0.6426688116826285,65451572,23387888,0,4,train
DDF,BLR,0,0,0.6426859235710947,65451572,23386768,0,3,train
DDF,BLR,0,0,0.6407694531767701,65451572,23512204,0,2,train
DDF,BLR,0,0,0.6710001098216556,65451572,21533560,0,21,train
DDF,BLR,0,0,0.6722013643919813,65451572,21454936,0,22,train
DDF,BLR,0,0,0.672701887129617,65451572,21422176,0,23,train
DDF,BLR,0,0,0.6735720266581221,65451572,21365224,0,24,train
DDF,BLR,0,0,0.6828683045229227,65451572,20756768,0,44,train
DDF,BLR,0,0,0.6828477091428758,65451572,20758116,0,43,train
DDF,BLR,0,0,0.6828359141626117,65451572,20758888,0,42,train
DDF,BLR,0,0,0.6830741972095032,65451572,20743292,0,41,train
DDF,BLR,0,0,0.6830550074488662,65451572,20744548,0,40,train
DDF,BLR,0,0,0.6830312341466757,65451572,20746104,0,39,train
DDF,BLR,0,0,0.6830313563744504,65451572,20746096,0,38,train
DDF,BLR,0,0,0.6830496294267768,65451572,20744900,0,37,train
DDF,BLR,0,0,0.6830120443860386,65451572,20747360,0,36,train
DDF,BLR,0,1,0.6781389452341955,65451572,21066312,0,28,train
DDF,BLR,0,0,0.6829739704342014,65451572,20749852,0,35,train
DDF,BLR,0,0,0.6787616957465895,65451572,21025552,0,33,train
DDF,BLR,0,0,0.6786037774616017,65451572,21035888,0,32,train
DDF,BLR,0,0,0.6785450470158303,65451572,21039732,0,31,train
DDF,BLR,0,0,0.6785377133493448,65451572,21040212,0,30,train
DDF,BLR,0,0,0.6785257961413058,65451572,21040992,0,29,train
DDF,BLR,0,0,0.6785137567054921,65451572,21041780,0,28,train
DDF,BLR,0,0,0.6777459829383472,65451572,21092032,0,27,train
DDF,BLR,0,0,0.6776821800399233,65451572,21096208,0,26,train
DDF,BLR,0,0,0.6754393614869938,65451572,21243004,0,25,train
DDF,BLR,0,0,0.6788507997943884,65451572,21019720,0,34,train
DDF,BLR,0,1,0.678154834844914,65451572,21065272,0,29,train
DDF,BLR,0,1,0.6797211226645558,65451572,20962756,0,30,train
DDF,BLR,0,1,0.6798036264125177,65451572,20957356,0,31,train
DDF,BLR,0,2,0.6842297997059567,65451572,20667656,0,36,train
DDF,BLR,0,2,0.6842216715589352,65451572,20668188,0,35,train
DDF,BLR,0,2,0.6841802363432921,65451572,20670900,0,34,train
DDF,BLR,0,2,0.6840895433344214,65451572,20676836,0,33,train
DDF,BLR,0,2,0.6813627027934486,65451572,20855312,0,32,train
DDF,BLR,0,2,0.6813168062640268,65451572,20858316,0,31,train
DDF,BLR,0,2,0.6812712153040419,65451572,20861300,0,30,train
DDF,BLR,0,2,0.6812635149542321,65451572,20861804,0,29,train
DDF,BLR,0,2,0.6812558146044223,65451572,20862308,0,28,train
DDF,BLR,0,2,0.681213218224919,65451572,20865096,0,27,train
DDF,BLR,0,2,0.6812170683998239,65451572,20864844,0,26,train
DDF,BLR,0,2,0.6784168911939961,65451572,21048120,0,25,train
DDF,BLR,0,2,0.6768379527996669,65451572,21151464,0,24,train
DDF,BLR,0,2,0.6751532262662844,65451572,21261732,0,23,train
DDF,BLR,0,2,0.6740234749441923,65451572,21335676,0,22,train
DDF,BLR,0,2,0.6721638404651304,65451572,21457392,0,21,train
DDF,BLR,0,2,0.6702657042370197,65451572,21581628,0,20,train
DDF,BLR,0,2,0.668712617017052,65451572,21683280,0,19,train
DDF,BLR,0,2,0.6680766047910965,65451572,21724908,0,18,train
DDF,BLR,0,2,0.684258217663588,65451572,20665796,0,37,train
